//Security Logs//
14.6.2023 19:34:17: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
14.6.2023 19:34:18: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
14.6.2023 20:14:51: Player with id: 6 tried to manipulate the enemys clock		 Type: Game Manipulation
14.6.2023 20:14:52: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
14.6.2023 20:14:55: Player with id: 6 tried to manipulate the enemys clock		 Type: Game Manipulation
14.6.2023 20:14:57: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
14.6.2023 20:14:59: Player with id: 6 tried to manipulate the enemys clock		 Type: Game Manipulation
14.6.2023 20:15:12: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
14.6.2023 20:15:17: Player with id: 6 tried to manipulate the enemys clock		 Type: Game Manipulation
14.6.2023 20:15:22: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
14.6.2023 20:15:26: Player with id: 6 tried to make a illegal move		 Type: Game Manipulationpulation
14.6.2023 21:10:31: Player with id: 6 tried to manipulate the enemys clock		 Type: Game Manipulation
14.6.2023 21:10:34: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
14.6.2023 21:10:40: Player with id: 6 tried to manipulate the enemys clock		 Type: Game Manipulation
14.6.2023 21:10:42: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
14.6.2023 21:10:45: Player with id: 6 tried to manipulate the enemys clock		 Type: Game Manipulation
15.6.2023 8:45:57: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
15.6.2023 8:46:27: Player with id: 3 tried to manipulate his clock		 Type: Game Manipulation
15.6.2023 8:46:31: Player with id: 3 tried to manipulate the enemys clock		 Type: Game Manipulation
15.6.2023 8:46:42: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
15.6.2023 10:18:34: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
15.6.2023 10:20:33: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
15.6.2023 10:42:8: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
15.6.2023 10:42:18: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
15.6.2023 10:42:27: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
15.6.2023 10:42:44: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
15.6.2023 10:42:52: Player with id: 1 tried to manipulate the enemys clock		 Type: Game Manipulation
15.6.2023 11:19:6: Player with id: 6 tried to manipulate the enemys clock		 Type: Game Manipulation
